ID,TAX CODE,BLOCK NUMBER,LOT NUMBER,PAMS PIN,DCA MUNI CODE,MUNICIPALITY,USE GROUP,Use Group Label,DATE ISSUED,TYPE,WORK VALUE,YCOORD,XCOORD,MATCH TYPE
35,0102,41,1,0102_41_1,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),2/4/22,ALT,"313,800",39.35582,-74.43582,MODIV Parcel Centroid Coordinate
36,0102,41,1,0102_41_1,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",1/18/22,ALT,"320,000",39.35582,-74.43582,MODIV Parcel Centroid Coordinate
37,0102,41,1,0102_41_1,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),2/15/22,ALT,"2,200,000",39.35582,-74.43582,MODIV Parcel Centroid Coordinate
38,0102,41,1,0102_41_1,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),3/25/22,ALT,"6,000,000",39.35582,-74.43582,MODIV Parcel Centroid Coordinate
39,0102,41,1,0102_41_1,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",3/24/22,ALT,"2,559,000",39.35582,-74.43582,MODIV Parcel Centroid Coordinate
40,0102,41,1,0102_41_1,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),4/13/22,ALT,"1,280,000",39.35582,-74.43582,MODIV Parcel Centroid Coordinate
41,0102,41,1,0102_41_1,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),5/27/22,ALT,"1,001,000",39.35582,-74.43582,MODIV Parcel Centroid Coordinate
42,0102,41,1,0102_41_1,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",6/23/22,ALT,"350,000",39.35582,-74.43582,MODIV Parcel Centroid Coordinate
43,0102,41,1,0102_41_1,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),1/20/22,ALT,"4,120,570",39.35582,-74.43582,MODIV Parcel Centroid Coordinate
44,0102,41,1,0102_41_1,0102,ATLANTIC CITY,A-1,"Theaters, Concert Halls",2/15/22,ALT,"2,200,000",39.35582,-74.43582,MODIV Parcel Centroid Coordinate
45,0102,41,1,0102_41_1,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",3/25/22,ALT,"6,000,000",39.35582,-74.43582,MODIV Parcel Centroid Coordinate
46,0102,41,1,0102_41_1,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",4/13/22,ALT,"1,280,000",39.35582,-74.43582,MODIV Parcel Centroid Coordinate
47,0102,41,1,0102_41_1,0102,ATLANTIC CITY,A-3,"Churches, Libraries, Arcades, Comm. Halls, Gyms",5/27/22,ALT,"1,001,000",39.35582,-74.43582,MODIV Parcel Centroid Coordinate
48,0102,41,1,0102_41_1,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",8/12/22,ALT,"433,650",39.35582,-74.43582,MODIV Parcel Centroid Coordinate
49,0102,41,1,0102_41_1,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",9/15/22,ALT,"860,000",39.35582,-74.43582,MODIV Parcel Centroid Coordinate
50,0102,41,1,0102_41_1,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",11/2/22,ALT,"691,130",39.35582,-74.43582,MODIV Parcel Centroid Coordinate
51,0102,41,1,0102_41_1,0102,ATLANTIC CITY,R-1,"Hotel, Motel",10/28/22,ALT,"1,519,600",39.35582,-74.43582,MODIV Parcel Centroid Coordinate
52,0102,41,1,0102_41_1,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",12/6/22,ALT,"5,186,000",39.35582,-74.43582,MODIV Parcel Centroid Coordinate
53,0102,44,1,0102_44_1,0102,ATLANTIC CITY,M,Mercantile,7/11/22,ALT,"884,997",39.35786,-74.43282,MODIV Parcel Centroid Coordinate
54,0102,45,3,0102_45_3,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",1/11/22,ALT,"964,579",39.35622,-74.43277,MODIV Parcel Centroid Coordinate
55,0102,45,3,0102_45_3,0102,ATLANTIC CITY,R-1,"Hotel, Motel",2/16/22,ALT,"3,344,000",39.35622,-74.43277,MODIV Parcel Centroid Coordinate
56,0102,45,3,0102_45_3,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),2/9/22,ALT,"1,860,000",39.35622,-74.43277,MODIV Parcel Centroid Coordinate
57,0102,45,3,0102_45_3,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",2/22/22,NEW,"3,000,000",39.35622,-74.43277,MODIV Parcel Centroid Coordinate
58,0102,45,3,0102_45_3,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),2/25/22,NEW,"439,000",39.35622,-74.43277,MODIV Parcel Centroid Coordinate
59,0102,45,3,0102_45_3,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),2/22/22,NEW,"3,000,000",39.35622,-74.43277,MODIV Parcel Centroid Coordinate
60,0102,45,3,0102_45_3,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",2/9/22,ALT,"1,860,000",39.35622,-74.43277,MODIV Parcel Centroid Coordinate
61,0102,45,3,0102_45_3,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",2/28/22,ALT,"875,000",39.35622,-74.43277,MODIV Parcel Centroid Coordinate
62,0102,52,37,0102_52_37,0102,ATLANTIC CITY,R-2,Residential (Multifamily),7/8/22,NEW,"900,000",39.3591,-74.42719,MODIV Parcel Centroid Coordinate
63,0102,57,1,0102_57_1,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",9/2/22,ALT,"612,045",39.36084,-74.42523,MODIV Parcel Centroid Coordinate
64,0102,575,1,0102_575_1,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),1/20/22,ALT,"7,089,250",39.38484,-74.42715,MODIV Parcel Centroid Coordinate
65,0102,575,1,0102_575_1,0102,ATLANTIC CITY,S-2,Storage,4/11/22,ALT,"3,405,000",39.38484,-74.42715,MODIV Parcel Centroid Coordinate
66,0102,575,1,0102_575_1,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),4/11/22,ADD,"4,210,000",39.38484,-74.42715,MODIV Parcel Centroid Coordinate
67,0102,575,1,0102_575_1,0102,ATLANTIC CITY,S-2,Storage,4/11/22,ALT,"1,210,000",39.38484,-74.42715,MODIV Parcel Centroid Coordinate
68,0102,575,1,0102_575_1,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),5/26/22,ALT,"823,000",39.38484,-74.42715,MODIV Parcel Centroid Coordinate
69,0102,575,1,0102_575_1,0102,ATLANTIC CITY,S-2,Storage,4/11/22,ADD,"4,210,000",39.38484,-74.42715,MODIV Parcel Centroid Coordinate
70,0102,575,1,0102_575_1,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",1/20/22,ALT,"7,089,250",39.38484,-74.42715,MODIV Parcel Centroid Coordinate
71,0102,576,1.03,0102_576_1.03,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),3/28/22,ALT,"275,300",39.3774,-74.43569,MODIV Parcel Centroid Coordinate
72,0102,576,1.03,0102_576_1.03,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",6/27/22,ALT,"311,000",39.3774,-74.43569,MODIV Parcel Centroid Coordinate
73,0102,576,1.03,0102_576_1.03,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",8/12/22,ALT,"550,000",39.3774,-74.43569,MODIV Parcel Centroid Coordinate
74,0102,576,1.03,0102_576_1.03,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",8/24/22,ALT,"1,087,500",39.3774,-74.43569,MODIV Parcel Centroid Coordinate
75,0102,576,1.03,0102_576_1.03,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),9/9/22,ALT,"888,000",39.3774,-74.43569,MODIV Parcel Centroid Coordinate
76,0102,576,1.03,0102_576_1.03,0102,ATLANTIC CITY,R-1,"Hotel, Motel",10/11/22,ALT,"17,747,500",39.3774,-74.43569,MODIV Parcel Centroid Coordinate
77,0102,60,14,0102_60_14,0102,ATLANTIC CITY,U,Utilities and Miscellaneous,4/22/22,NEW,"1,825,000",39.3591,-74.42206,MODIV Parcel Centroid Coordinate
78,0102,60,14,0102_60_14,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),4/22/22,NEW,"1,825,000",39.3591,-74.42206,MODIV Parcel Centroid Coordinate
79,0102,61,22,0102_61_22,0102,ATLANTIC CITY,A-3,"Churches, Libraries, Arcades, Comm. Halls, Gyms",4/26/22,ALT,"1,400,000",39.36174,-74.41844,MODIV Parcel Centroid Coordinate
80,0102,61,22,0102_61_22,0102,ATLANTIC CITY,A-3,"Churches, Libraries, Arcades, Comm. Halls, Gyms",7/8/22,NEW,"30,000,000",39.36174,-74.41844,MODIV Parcel Centroid Coordinate
81,0102,61,22,0102_61_22,0102,ATLANTIC CITY,A-3,"Churches, Libraries, Arcades, Comm. Halls, Gyms",7/12/22,NEW,"2,000,000",39.36174,-74.41844,MODIV Parcel Centroid Coordinate
82,0102,61,22,0102_61_22,0102,ATLANTIC CITY,A-5,"Amusement Parks, Stadiums, and Bleachers",7/8/22,NEW,"30,000,000",39.36174,-74.41844,MODIV Parcel Centroid Coordinate
83,0102,61,22,0102_61_22,0102,ATLANTIC CITY,A-3,"Churches, Libraries, Arcades, Comm. Halls, Gyms",10/18/22,NEW,"3,210,000",39.36174,-74.41844,MODIV Parcel Centroid Coordinate
84,0102,61,22,0102_61_22,0102,ATLANTIC CITY,A-3,"Churches, Libraries, Arcades, Comm. Halls, Gyms",10/25/22,NEW,"1,200,000",39.36174,-74.41844,MODIV Parcel Centroid Coordinate
85,0102,61,22,0102_61_22,0102,ATLANTIC CITY,A-3,"Churches, Libraries, Arcades, Comm. Halls, Gyms",12/8/22,ALT,"404,000",39.36174,-74.41844,MODIV Parcel Centroid Coordinate
86,0102,62,1,0102_62_1,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",5/5/22,ALT,"479,500",39.36281,-74.41663,MODIV Parcel Centroid Coordinate
87,0102,62,1,0102_62_1,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",4/7/22,ALT,"1,557,000",39.36281,-74.41663,MODIV Parcel Centroid Coordinate
88,0102,62,1,0102_62_1,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",7/5/22,ALT,"250,000",39.36281,-74.41663,MODIV Parcel Centroid Coordinate
89,0102,62,1,0102_62_1,0102,ATLANTIC CITY,A-2,"Clubs, Dance Halls, Casinos, Restaurants, Taverns, Bars",8/26/22,ALT,"624,000",39.36281,-74.41663,MODIV Parcel Centroid Coordinate
90,0102,62,1,0102_62_1,0102,ATLANTIC CITY,R-1,"Hotel, Motel",9/27/22,ALT,"1,008,500",39.36281,-74.41663,MODIV Parcel Centroid Coordinate
91,0102,62,1,0102_62_1,0102,ATLANTIC CITY,A-3,"Churches, Libraries, Arcades, Comm. Halls, Gyms",10/20/22,ALT,"630,000",39.36281,-74.41663,MODIV Parcel Centroid Coordinate
92,0102,771,1,0102_771_1,0102,ATLANTIC CITY,R-2,Residential (Multifamily),3/8/22,ALT,"306,447",39.35775,-74.4668,MODIV Parcel Centroid Coordinate
93,0102,771,2,0102_771_2,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),3/8/22,ALT,"306,447",39.35717,-74.4675,MODIV Parcel Centroid Coordinate
95,0102,8,15,0102_8_15,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),8/18/22,NEW,"330,200",39.34565,-74.46171,MODIV Parcel Centroid Coordinate
96,0102,831,5,0102_831_5,0102,ATLANTIC CITY,U,Utilities and Miscellaneous,8/29/22,ALT,"382,650",39.36448,-74.47196,MODIV Parcel Centroid Coordinate
97,0102,831,5,0102_831_5,0102,ATLANTIC CITY,R-5,Residential (1 & 2 Family Homes),8/19/22,ALT,"251,940",39.36448,-74.47196,MODIV Parcel Centroid Coordinate
98,0103,102,16,0103_102_16,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),11/18/22,NEW,"411,500",39.41382,-74.35599,MODIV Parcel Centroid Coordinate
99,0103,1101,10,0103_1101_10,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),5/17/22,NEW,"678,600",39.40265,-74.36978,MODIV Parcel Centroid Coordinate
100,0103,1102,15,0103_1102_15,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),1/7/22,NEW,"556,000",39.40497,-74.37134,MODIV Parcel Centroid Coordinate
101,0103,1102,17,0103_1102_17,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),1/7/22,NEW,"730,900",39.40468,-74.37118,MODIV Parcel Centroid Coordinate
102,0103,1105,9,0103_1105_9,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),3/22/22,NEW,"663,400",39.402,-74.37144,MODIV Parcel Centroid Coordinate
103,0103,1202,4,0103_1202_4,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),11/16/22,NEW,"790,600",39.40829,-74.37045,MODIV Parcel Centroid Coordinate
104,0103,1303,4,0103_1303_4,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),10/21/22,NEW,"313,500",39.4058,-74.37151,MODIV Parcel Centroid Coordinate
105,0103,1502,9,0103_1502_9,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),5/13/22,NEW,"662,000",39.40369,-74.37356,MODIV Parcel Centroid Coordinate
106,0103,1503,2,0103_1503_2,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),12/5/22,NEW,"673,500",39.40038,-74.37221,MODIV Parcel Centroid Coordinate
107,0103,1503,7,0103_1503_7,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),1/19/22,NEW,"638,100",39.40092,-74.37271,MODIV Parcel Centroid Coordinate
108,0103,1505,8.02,0103_1505_8.02,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),3/25/22,NEW,"490,900",39.40114,-74.37403,Geocoded MOD-IV Address
109,0103,1703,3,0103_1703_3,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),5/13/22,NEW,"471,500",39.40459,-74.37365,MODIV Parcel Centroid Coordinate
110,0103,1703,8.01,0103_1703_8.01,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),8/29/22,NEW,"394,200",39.40444,-74.37332,MODIV Parcel Centroid Coordinate
111,0103,1902,2.02,0103_1902_2.02,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),2/3/22,NEW,"395,000",39.40073,-74.37825,Geocoded MOD-IV Address
112,0103,205,3,0103_205_3,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),8/10/22,NEW,"417,400",39.41214,-74.35772,MODIV Parcel Centroid Coordinate
113,0103,207,20,0103_207_20,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),9/20/22,NEW,"663,600",39.41356,-74.35884,MODIV Parcel Centroid Coordinate
114,0103,2102,8,0103_2102_8,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),9/12/22,NEW,"452,800",39.39962,-74.38008,MODIV Parcel Centroid Coordinate
115,0103,2103,4,0103_2103_4,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),11/16/22,NEW,"668,200",39.39679,-74.3791,MODIV Parcel Centroid Coordinate
116,0103,2103,5,0103_2103_5,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),1/27/22,NEW,"340,000",39.39692,-74.37922,MODIV Parcel Centroid Coordinate
117,0103,2104,9,0103_2104_9,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),5/13/22,NEW,"673,000",39.39907,-74.3807,MODIV Parcel Centroid Coordinate
118,0103,2306,8,0103_2306_8,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),5/17/22,NEW,"813,500",39.39233,-74.38311,MODIV Parcel Centroid Coordinate
119,0103,2404,11,0103_2404_11,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),2/16/22,NEW,"732,500",39.39646,-74.38289,MODIV Parcel Centroid Coordinate
120,0103,2605,8,0103_2605_8,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),12/22/22,NEW,"674,400",39.39977,-74.38318,MODIV Parcel Centroid Coordinate
121,0103,2705,8,0103_2705_8,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),10/27/22,NEW,"672,600",39.39754,-74.38535,MODIV Parcel Centroid Coordinate
122,0103,2801,9,0103_2801_9,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),12/20/22,NEW,"806,100",39.39366,-74.38514,MODIV Parcel Centroid Coordinate
123,0103,2802,5,0103_2802_5,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),8/10/22,NEW,"382,500",39.39261,-74.38517,MODIV Parcel Centroid Coordinate
124,0103,3002,3.01,0103_3002_3.01,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),1/19/22,NEW,"573,600",39.39014,-74.38825,Geocoded MOD-IV Address
125,0103,3003,26,0103_3003_26,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),1/6/22,NEW,"428,700",39.39005,-74.38872,MODIV Parcel Centroid Coordinate
126,0103,302,13,0103_302_13,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),9/9/22,NEW,"692,600",39.41204,-74.35819,MODIV Parcel Centroid Coordinate
127,0103,3104,1,0103_3104_1,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),9/22/22,NEW,"580,000",39.39503,-74.39158,MODIV Parcel Centroid Coordinate
128,0103,3502,11,0103_3502_11,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),8/16/22,ALT,"693,192",39.3869,-74.39216,MODIV Parcel Centroid Coordinate
129,0103,3901,10,0103_3901_10,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),7/29/22,NEW,"270,900",39.38856,-74.39371,MODIV Parcel Centroid Coordinate
130,0103,3901,10,0103_3901_10,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),7/29/22,NEW,"269,600",39.38856,-74.39371,MODIV Parcel Centroid Coordinate
131,0103,4102,1,0103_4102_1,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),4/25/22,ALT,"320,000",39.38574,-74.39547,MODIV Parcel Centroid Coordinate
132,0103,4302,1,0103_4302_1,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),6/10/22,NEW,"672,200",39.3799,-74.40377,MODIV Parcel Centroid Coordinate
133,0103,5002,1,0103_5002_1,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),9/7/22,NEW,"400,500",39.39225,-74.39792,MODIV Parcel Centroid Coordinate
134,0103,5002,3,0103_5002_3,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),3/22/22,NEW,"879,400",39.3911,-74.39737,Geocoded MOD-IV Address
135,0103,5201,14,0103_5201_14,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),5/17/22,NEW,"532,000",39.39056,-74.39963,MODIV Parcel Centroid Coordinate
136,0103,5203,14,0103_5203_14,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),11/22/22,NEW,"673,000",39.39001,-74.40253,MODIV Parcel Centroid Coordinate
137,0103,5702,1,0103_5702_1,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),1/12/22,NEW,"416,900",39.39242,-74.40815,MODIV Parcel Centroid Coordinate
138,0103,5702,7,0103_5702_7,0103,BRIGANTINE CITY,A-3,"Churches, Libraries, Arcades, Comm. Halls, Gyms",10/27/22,NEW,"848,000",39.39281,-74.40722,MODIV Parcel Centroid Coordinate
139,0103,5705,5,0103_5705_5,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),10/3/22,ADD,"288,100",39.39278,-74.40559,MODIV Parcel Centroid Coordinate
140,0103,5803,2,0103_5803_2,0103,BRIGANTINE CITY,R-5,Residential (1 & 2 Family Homes),5/17/22,NEW,"769,400",39.42333,-74.36674,MODIV Parcel Centroid Coordinate
